여정,GA 화면 제목(screen_name/page_title),개발 키(screen_key),화면 범위,진입 경로,다음 이동,플랫폼,표시 조건,화면 경계
활동·계정 관리,고객센터 · 안내,support_home,문의와 도움말 경로를 확인하는 화면입니다.,설정 → 고객센터,문의·약관 또는 외부 도움말으로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
활동·계정 관리,고객센터 · 약관 목록,support_agreement_list,열람할 약관 종류를 선택하는 화면입니다.,설정·고객센터 → 약관,약관 상세으로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
활동·계정 관리,고객센터 · 약관 상세,support_agreement_detail,선택한 약관의 전문을 읽는 화면입니다.,가입·고객센터 → 약관 선택,진입 화면으로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
활동·계정 관리,신고 · 사유 직접 입력,support_report,신고할 사유를 직접 작성하는 화면입니다.,프로필·콘텐츠·채팅 → 신고 → 직접 입력,신고 전송 후 진입 화면으로 이동합니다.,"aos,web",이 화면이 실제 전면에 표시된 경우,
활동·계정 관리,회원 · 등급별 혜택,support_privilege,회원 등급의 혜택을 확인하는 화면입니다.,마이·등급 안내 → 혜택,진입 화면으로 이동합니다.,web,이 화면이 실제 전면에 표시된 경우,
활동·계정 관리,이메일 · 마케팅 수신거부,settings_email_unsubscribe,마케팅 이메일 수신거부를 처리하는 페이지입니다.,안내 이메일 → 수신거부 링크,수신거부 결과으로 이동합니다.,web,이 화면이 실제 전면에 표시된 경우,
공유 링크·예외 진입,공유 · 크리에이터 프로필,share_profile,공유 링크로 크리에이터 프로필을 읽는 브라우저 화면입니다.,외부 공유 링크 → 프로필,앱 열기·다운로드 또는 공유 콘텐츠으로 이동합니다.,web,이 화면이 실제 전면에 표시된 경우,
공유 링크·예외 진입,공유 · 포트폴리오 상세,share_portfolio,공유된 포트폴리오를 읽는 브라우저 화면입니다.,외부 공유 링크 → 포트폴리오,앱 열기 또는 작성자 프로필으로 이동합니다.,web,이 화면이 실제 전면에 표시된 경우,
공유 링크·예외 진입,공유 · 프로젝트 상세,share_project,공유된 프로젝트를 읽는 브라우저 화면입니다.,외부 공유 링크 → 프로젝트,앱 열기 또는 다운로드으로 이동합니다.,web,이 화면이 실제 전면에 표시된 경우,
공유 링크·예외 진입,갤러리 · 작품 탐색,gallery_home,갤러리 작품을 탐색하는 조건부 화면입니다.,갤러리 딥링크 → 갤러리,작품·크리에이터 또는 메인으로 이동합니다.,"aos,web",이 화면이 실제 전면에 표시된 경우,
공유 링크·예외 진입,앱 안내 · 다운로드,system_app_download,앱 설치를 안내하는 페이지입니다.,공유 페이지 → 앱 다운로드,앱 스토어으로 이동합니다.,web,이 화면이 실제 전면에 표시된 경우,
공유 링크·예외 진입,서비스 · 점검 안내,system_maintenance,서비스 점검으로 이용을 중단하고 안내를 표시하는 화면입니다.,앱 실행·서비스 이용 → 점검 상태,점검 종료 후 서비스으로 이동합니다.,"aos,ios,web",이 화면이 실제 전면에 표시된 경우,
공유 링크·예외 진입,서비스 · 불러오기 오류,system_error,전체 페이지 오류를 표시하는 화면입니다.,웹페이지 → 전역 오류,재시도 또는 이전 화면으로 이동합니다.,web,이 화면이 실제 전면에 표시된 경우,
공유 링크·예외 진입,서비스 · 페이지 없음,system_not_found,요청한 페이지가 없음을 알리는 화면입니다.,존재하지 않는 웹 경로,이전 화면으로 이동합니다.,web,이 화면이 실제 전면에 표시된 경우,
공유 링크·예외 진입,아케이드 · 게임,arcade_game,플레이 가능한 게임 화면입니다.,아케이드 진입 → 게임,플레이 종료 후 진입 화면으로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
